GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),GPS Altitude(ft),Speed (GPS)(mph),Run time since engine start(s),Speed (OBD)(mph),Miles Per Gallon(Long Term Average)(mpg)
Sun Jan 06 11:28:07 EST 2013,06-Jan-2013 12:29:35.805,-85.37369528333333,38.401683,0.0,2.0,231.6,0.0,-0.1176798,9.45361042,1.46119082,-0.03017002,0,-,-,0,0,35.21942902
Sun Jan 06 12:29:36 EST 2013,06-Jan-2013 12:29:40.699,-85.37373873333334,38.40169193333333,0.0,8.0,221.1,0.0,-0.1176798,9.45361042,1.46119082,-0.03017002,0,725.39373779,-,21,0,35.2187233
Sun Jan 06 12:29:43 EST 2013,06-Jan-2013 12:29:45.703,-85.37373465,38.40167805,0.0,3.0,222.8,0.0,0.14709975,10.43427563,1.41215754,-0.02319492,0,730.97113037,0,28,0,35.21844101
Sun Jan 06 12:29:48 EST 2013,06-Jan-2013 12:29:50.696,-85.37373161666666,38.40167698333333,0.0,2.0,222.9,0.0,-0.74530536,10.23814201,1.15718472,0.04767501,0,731.29919434,0,33,0,35.21787643
Sun Jan 06 12:29:53 EST 2013,06-Jan-2013 12:29:55.696,-85.373716,38.40166481666667,0.66877776,2.0,224.4,149.9,-0.35303938,10.82654095,1.5102241,0.10953164,0,736.22045898,1.49601328,38,0,35.21717453
Sun Jan 06 12:29:58 EST 2013,06-Jan-2013 12:30:00.702,-85.37368548333333,38.40163805,0.97744447,2.0,225.7,159.8,0.0392266,9.53206348,1.25525117,0.01675788,5.45426941,740.48553467,2.186481,43,2.48548484,35.21162415
Sun Jan 06 12:30:03 EST 2013,06-Jan-2013 12:30:05.693,-85.37366798333333,38.40161023333334,0.0,2.0,226.2,0.0,1.38273764,10.53234196,0.60801226,0.07926059,0,742.12597656,0,48,2.48548484,35.20383453
Sun Jan 06 12:30:08 EST 2013,06-Jan-2013 12:30:10.696,-85.3735369,38.40170198333333,3.704,2.0,226.4,64.4,-1.45138419,9.70858288,1.33370435,0.00449514,13.96802807,742.78210449,8.28561115,53,8.07782555,35.19261551
Sun Jan 06 12:30:13 EST 2013,06-Jan-2013 12:30:15.688,-85.3734485,38.40183126666667,3.704,2.0,227.4,341.9,-0.39226598,10.66963482,2.3928225,0.11000311,11.07116508,746.06298828,8.28561115,58,9.32056808,35.18423462
Sun Jan 06 12:30:18 EST 2013,06-Jan-2013 12:30:20.693,-85.37356388333333,38.402002216666666,4.8357778,2.0,227.8,328.4,-0.1569064,9.80665016,0.0392266,-0.00556332,15.71895218,747.37536621,10.81732655,63,11.18468189,35.17494583
Sun Jan 06 12:30:23 EST 2013,06-Jan-2013 12:30:25.695,-85.3737235,38.40221171666666,5.2987776,2.0,227.7,329.6,-0.09806649,10.20872211,0.0784532,0.03536546,16.59222794,747.04724121,11.8530283,68,11.80605221,35.1705246
Sun Jan 06 12:30:28 EST 2013,06-Jan-2013 12:30:30.688,-85.37385676666666,38.402393833333335,3.4467778,2.0,229.0,331.0,0.19613299,8.74753189,1.9221034,0.00510044,18.87904358,751.31231689,7.71022224,73,6.83508301,35.16885376
