"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"2016-06-09 20:35","",
"P","2016-06-10T00:36:02Z","38.227169","-85.685282","162.3000030517578","238.5","2.4494898319244385","5.800000190734863",,,"0"
"P","2016-06-10T00:36:06Z","38.226971","-85.685389","158.3000030517578","163.60000610351563","2.1213202476501465","4.199999809265137",,,"0"
"P","2016-06-10T00:36:09Z","38.226789","-85.685273","157.10000610351563","149.10000610351563","2.4494898319244385","6.800000190734863",,,"0"
"P","2016-06-10T00:36:12Z","38.226571","-85.685113","155.8000030517578","149.89999389648438","2.1213202476501465","7.800000190734863",,,"0"
"P","2016-06-10T00:36:15Z","38.226348","-85.684956","156.3000030517578","149.1999969482422","1.7320507764816284","8.100000381469727",,,"0"
"P","2016-06-10T00:36:19Z","38.22612","-85.684777","155.8000030517578","147.60000610351563","2.1213202476501465","6.099999904632568",,,"0"
"P","2016-06-10T00:36:22Z","38.225966","-85.684635","156.39999389648438","146.8000030517578","2.1213202476501465","7.199999809265137",,,"0"
"P","2016-06-10T00:36:25Z","38.2258","-85.684497","155.6999969482422","143.1999969482422","2.1213202476501465","7.5",,,"0"
"P","2016-06-10T00:36:28Z","38.225587","-85.684325","156.89999389648438","145.0","2.4494898319244385","8.0",,,"0"
"P","2016-06-10T00:36:31Z","38.225376","-85.684173","156.8000030517578","145.10000610351563","2.1213202476501465","8.300000190734863",,,"0"
"P","2016-06-10T00:36:34Z","38.225184","-85.684008","157.39999389648438","150.6999969482422","2.1213202476501465","8.399999618530273",,,"0"
"P","2016-06-10T00:36:37Z","38.224965","-85.683841","157.39999389648438","143.89999389648438","2.1213202476501465","8.600000381469727",,,"0"
"P","2016-06-10T00:36:41Z","38.224672","-85.683647","156.60000610351563","145.6999969482422","2.1213202476501465","8.800000190734863",,,"0"
"P","2016-06-10T00:36:44Z","38.224447","-85.683487","155.60000610351563","147.3000030517578","2.1213202476501465","9.199999809265137",,,"0"
"P","2016-06-10T00:36:47Z","38.224219","-85.6833","155.1999969482422","148.3000030517578","2.1213202476501465","9.199999809265137",,,"0"
"P","2016-06-10T00:36:50Z","38.223991","-85.683132","155.10000610351563","149.60000610351563","2.1213202476501465","9.300000190734863",,,"0"
"P","2016-06-10T00:36:53Z","38.22379","-85.682961","154.8000030517578","147.39999389648438","1.7320507764816284","8.5",,,"0"
"P","2016-06-10T00:36:56Z","38.223635","-85.682829","155.1999969482422","147.60000610351563","1.7320507764816284","6.5",,,"0"
