GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),GPS Altitude(ft),Speed (GPS)(mph),Run time since engine start(s),Speed (OBD)(mph),Miles Per Gallon(Long Term Average)(mpg)
Mon Dec 31 09:15:03 EST 2012,31-Dec-2012 09:15:06.063,-85.47200571666667,38.300841616666666,1.028889,8.0,203.9,163.8,-0.1176798,10.04200935,-1.41215754,0.02843404,3.40171099,668.96325684,2.30155897,16,2.48548484,29.94802856
Mon Dec 31 09:15:09 EST 2012,31-Dec-2012 09:15:11.152,-85.4720175,38.300833516666664,0.0,4.0,197.5,0.0,0.04903325,10.27736855,-1.6475172,0.04235387,0,647.96588135,0,22,0,29.93114853
Mon Dec 31 09:15:14 EST 2012,31-Dec-2012 09:15:15.988,-85.47202096666666,38.30083735,0.0,3.0,194.7,0.0,0.30400613,10.13026905,0.47071919,0.02886796,0,638.77954102,0,27,0,29.9267807
Mon Dec 31 09:15:19 EST 2012,31-Dec-2012 09:15:21.009,-85.47202161666667,38.30084075,0.0,3.0,194.3,0.0,1.01989162,11.72875309,0.4314926,0.19555116,0,637.46722412,0,32,0,29.92315102
Mon Dec 31 09:15:24 EST 2012,31-Dec-2012 09:15:25.982,-85.4720216,38.30084058333333,0.0,2.0,194.5,0.0,0.89240515,12.36618519,0.45110589,0.25932598,0,638.12335205,0,37,0,29.91880798
Mon Dec 31 09:15:29 EST 2012,31-Dec-2012 09:15:30.973,-85.4720216,38.300840566666665,0.0,3.0,194.5,0.0,0.93163174,12.0425663,0.50994581,0.2269876,0,638.12335205,0,42,0,29.91519928
Mon Dec 31 09:15:34 EST 2012,31-Dec-2012 09:15:35.988,-85.47202155,38.300840566666665,0.0,4.0,194.5,0.0,0.98066497,12.35637856,0.50994581,0.25924134,0,638.12335205,0,47,0,29.91160011
Mon Dec 31 09:15:39 EST 2012,31-Dec-2012 09:15:40.972,-85.47202153333333,38.30084048333333,0.0,4.0,194.5,0.0,-0.52955908,7.45305395,-1.90249002,-0.21939981,0,638.12335205,0,52,0,29.90801048
Mon Dec 31 09:15:44 EST 2012,31-Dec-2012 09:15:45.985,-85.4720215,38.3008405,0.0,4.0,194.5,0.0,1.31409109,13.02323055,0.65704554,0.33060968,0,638.12335205,0,57,0,29.90371704
Mon Dec 31 09:15:49 EST 2012,31-Dec-2012 09:15:50.988,-85.47202146666666,38.300840533333336,0.0,3.0,194.5,0.0,-0.08825985,8.70830536,-1.17679799,-0.10954714,0,638.12335205,0,62,0,29.90014839
Mon Dec 31 09:15:54 EST 2012,31-Dec-2012 09:15:55.980,-85.47202145,38.3008406,0.0,3.0,194.5,0.0,1.19641125,12.90555096,0.55897903,0.3170619,0,638.12335205,0,67,0,29.89587784
Mon Dec 31 09:15:59 EST 2012,31-Dec-2012 09:16:00.979,-85.47202143333334,38.30084065,0.0,2.0,194.5,0.0,0.23535959,9.37515736,-0.5491724,-0.04774547,0,638.12335205,0,72,0,29.89233017
Mon Dec 31 09:16:04 EST 2012,31-Dec-2012 09:16:05.985,-85.4720214,38.3008407,0.0,2.0,194.5,0.0,-0.78453195,6.90388155,-2.09862304,-0.26546729,0,638.12335205,0,77,0,29.88879013
Mon Dec 31 09:16:09 EST 2012,31-Dec-2012 09:16:10.977,-85.47202135,38.300840816666664,0.0,2.0,194.5,0.0,0.98066497,12.5917387,0.5491724,0.28330708,0,638.12335205,0,82,0,29.88455582
Mon Dec 31 09:16:14 EST 2012,31-Dec-2012 09:16:15.999,-85.47202133333333,38.30084086666667,0.0,2.0,194.6,0.0,-0.58839899,7.20788765,-2.04958987,-0.23913014,0,638.45147705,0,87,0,29.88033485
Mon Dec 31 09:16:19 EST 2012,31-Dec-2012 09:16:21.002,-85.47202128333333,38.30084093333333,0.0,2.0,194.6,0.0,-0.62762558,7.10001421,-2.07900977,-0.24850607,0,638.45147705,0,92,0,29.87682724
Mon Dec 31 09:16:24 EST 2012,31-Dec-2012 09:16:25.980,-85.47202126666667,38.300841,0.0,2.0,194.6,0.0,1.18660462,13.1409111,0.91201842,0.34284401,0,638.45147705,0,97,0,29.87332726
Mon Dec 31 09:16:29 EST 2012,31-Dec-2012 09:16:30.980,-85.47202126666667,38.30084106666666,0.0,3.0,194.6,0.0,-0.23535959,8.35526562,-1.33370435,-0.14253265,0,638.45147705,0,102,0,29.86914062
Mon Dec 31 09:16:34 EST 2012,31-Dec-2012 09:16:35.975,-85.47202128333333,38.30084105,0.0,3.0,194.6,0.0,1.41215754,13.49394989,0.78453195,0.37999427,0,638.45147705,0,107,0,29.86566162
Mon Dec 31 09:16:39 EST 2012,31-Dec-2012 09:16:40.980,-85.47202133333333,38.300841016666666,0.0,6.0,194.6,0.0,0.74530536,10.55195522,-0.4314926,0.07385123,0,638.45147705,0,112,0,29.86149788
Mon Dec 31 09:16:44 EST 2012,31-Dec-2012 09:16:45.982,-85.47202135,38.30084095,0.0,6.0,194.6,0.0,0.62762558,9.25747776,-0.74530536,-0.05646747,0,638.45147705,0,117,0,29.85734749
Mon Dec 31 09:16:49 EST 2012,31-Dec-2012 09:16:50.983,-85.47202135,38.300840916666665,0.0,6.0,194.6,0.0,1.0983448,12.43483162,0.8237586,0.26991177,0,638.45147705,0,122,0,29.853899
Mon Dec 31 09:16:54 EST 2012,31-Dec-2012 09:16:55.977,-85.4720213,38.3008409,0.0,6.0,194.6,0.0,0.39226598,9.72819614,-0.39226598,-0.01208556,0,638.45147705,0,127,0,29.84908485
