GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),GPS Altitude(ft),Speed (GPS)(mph),Run time since engine start(s),Speed (OBD)(mph),Miles Per Gallon(Long Term Average)(mpg)
Sun Dec 30 20:35:43 EST 2012,30-Dec-2012 20:35:45.997,-85.62219783333333,38.14724243333333,0.0,12.0,189.6,0.0,-0.5491724,2.38301587,9.44380379,-0.01093423,0,622.04724121,-,0,-,23.39691353
Sun Dec 30 20:35:47 EST 2012,30-Dec-2012 20:35:51.000,-85.62220086666666,38.14723755,0.0,6.0,189.6,0.0,-0.2941995,10.14988232,0.10787315,0.0297817,0,622.04724121,0,17,0,0
Sun Dec 30 20:35:53 EST 2012,30-Dec-2012 20:35:55.984,-85.62219801666667,38.14723115,0.0,4.0,189.3,0.0,-0.39226598,10.3950491,0.10787315,0.0550915,0,621.06298828,0,22,0,0
Sun Dec 30 20:35:58 EST 2012,30-Dec-2012 20:36:00.983,-85.62219685,38.14723136666667,0.0,3.0,189.4,0.0,0.31381279,10.21852875,-0.0392266,0.03678513,0,621.39105225,0,27,0,0
Sun Dec 30 20:36:03 EST 2012,30-Dec-2012 20:36:06.097,-85.62219685,38.14723136666667,0.0,3.0,189.4,0.0,-0.78453195,10.51272869,0.0196133,0.06925786,0,621.39105225,0,32,0,0
Sun Dec 30 20:36:08 EST 2012,30-Dec-2012 20:36:10.987,-85.62219685,38.14723135,0.0,3.0,189.4,0.0,-0.64723891,10.43427563,0.10787315,0.06037998,0,621.39105225,0,37,0,0
Sun Dec 30 20:36:13 EST 2012,30-Dec-2012 20:36:16.087,-85.62219683333333,38.14723135,0.0,3.0,189.4,0.0,0,9.80665016,0.0588399,-0.00568128,0,621.39105225,0,42,0,0
Sun Dec 30 20:36:18 EST 2012,30-Dec-2012 20:36:20.985,-85.62219676666666,38.14723141666666,0.0,3.0,189.4,0.0,0.35303938,9.45361042,-0.0588399,-0.04099661,0,621.39105225,0,47,0,0
Sun Dec 30 20:36:23 EST 2012,30-Dec-2012 20:36:25.975,-85.6221968,38.14723136666667,0.0,2.0,189.4,0.0,-0.66685218,10.66963482,0.09806649,0.08443868,0,621.39105225,0,52,0,0
Sun Dec 30 20:36:29 EST 2012,30-Dec-2012 20:36:30.995,-85.6221969,38.147231133333335,0.0,2.0,189.5,0.0,-0.78453195,10.43427563,0.06864655,0.06130409,0,621.71917725,0,58,0,0
Sun Dec 30 20:36:34 EST 2012,30-Dec-2012 20:36:35.980,-85.62219685,38.1472311,0.0,2.0,189.5,0.0,0.90221179,9.73800278,0.06864655,-0.00842112,0,621.71917725,0,63,0,0
Sun Dec 30 20:36:39 EST 2012,30-Dec-2012 20:36:40.975,-85.62219686666667,38.14723105,0.0,2.0,189.5,0.0,-0.35303938,10.04200935,0.09806649,0.01897371,0,621.71917725,0,68,0,0
Sun Dec 30 20:36:44 EST 2012,30-Dec-2012 20:36:45.977,-85.62219698333334,38.147231033333334,0.0,2.0,189.5,0.0,0.52955908,9.74780941,-0.0588399,-0.01021397,0,621.71917725,0,73,0,0
Sun Dec 30 20:36:49 EST 2012,30-Dec-2012 20:36:50.996,-85.62219708333333,38.14723108333333,0.0,2.0,189.5,0.0,-1.29447782,10.70886135,0.09806649,0.09426105,0,621.71917725,0,78,0,0
Sun Dec 30 20:36:54 EST 2012,30-Dec-2012 20:36:55.980,-85.62219711666667,38.14723108333333,0.0,2.0,189.5,0.0,0.2745862,9.72819614,0.06864655,-0.01327699,0,621.71917725,0,83,0,0
Sun Dec 30 20:36:59 EST 2012,30-Dec-2012 20:37:00.976,-85.62219715,38.14723111666667,0.0,2.0,189.5,0.0,0.60801226,9.41438389,-0.00980665,-0.04368579,0,621.71917725,0,88,0,0
Sun Dec 30 20:37:04 EST 2012,30-Dec-2012 20:37:05.975,-85.62219716666667,38.1472311,0.0,2.0,189.5,0.0,1.13757133,9.37515736,0.0784532,-0.04264146,0,621.71917725,0,93,0,0
Sun Dec 30 20:37:09 EST 2012,30-Dec-2012 20:37:10.974,-85.62219715,38.14723106666667,0.0,2.0,189.5,0.0,-1.13757133,10.66963482,0.0392266,0.08844221,0,621.71917725,0,98,0,0
Sun Dec 30 20:37:14 EST 2012,30-Dec-2012 20:37:16.027,-85.62219718333333,38.1472309,0.0,2.0,189.6,0.0,0.0392266,9.61051655,0,-0.02568436,0,622.04724121,0,103,0,0
Sun Dec 30 20:37:19 EST 2012,30-Dec-2012 20:37:20.977,-85.62219716666667,38.14723073333333,0.0,2.0,189.6,0.0,-1.21602452,11.14035416,0.04903325,0.13701046,0,622.04724121,0,108,0,0
Sun Dec 30 20:37:24 EST 2012,30-Dec-2012 20:37:25.976,-85.62219715,38.14723068333333,0.0,2.0,189.6,0.0,-1.21602452,10.9442215,0.02941995,0.11713052,0,622.04724121,0,113,0,0
Sun Dec 30 20:37:29 EST 2012,30-Dec-2012 20:37:30.975,-85.6221971,38.14723068333333,0.0,2.0,189.6,0.0,-0.86298519,10.98344803,0.1372931,0.11779761,0,622.04724121,0,118,0,0
Sun Dec 30 20:37:34 EST 2012,30-Dec-2012 20:37:35.986,-85.62219691666667,38.14723083333333,0.0,2.0,189.6,0.0,-0.35303938,10.51272869,0.10787315,0.06693661,0,622.04724121,0,123,0,0
Sun Dec 30 20:37:39 EST 2012,30-Dec-2012 20:37:40.977,-85.62219681666667,38.14723093333333,0.0,2.0,189.6,0.0,0.94143838,9.76742363,0.0784532,-0.00505173,0,622.04724121,0,128,0,0
Sun Dec 30 20:37:44 EST 2012,30-Dec-2012 20:37:45.986,-85.62219676666666,38.147230783333335,0.0,2.0,189.7,0.0,-1.01989162,10.19891548,0.0196133,0.03947425,0,622.37530518,0,133,0,0
Sun Dec 30 20:37:49 EST 2012,30-Dec-2012 20:37:50.982,-85.62219686666667,38.14723046666667,0.0,2.0,189.7,0.0,-0.0784532,10.43427563,0.0392266,0.05831647,0,622.37530518,0,138,0,0
Sun Dec 30 20:37:54 EST 2012,30-Dec-2012 20:37:55.973,-85.62219703333334,38.14723016666667,0.0,2.0,189.7,0.0,-0.1176798,10.51272869,0.1176798,0.06641042,0,622.37530518,0,143,0,0
Sun Dec 30 20:37:59 EST 2012,30-Dec-2012 20:38:00.973,-85.62219711666667,38.147229933333335,0.0,2.0,189.7,0.0,-0.5491724,9.64974308,-0.0196133,-0.02010018,0,622.37530518,0,148,0,0
Sun Dec 30 20:38:04 EST 2012,30-Dec-2012 20:38:05.975,-85.62219723333334,38.14722973333333,0.0,2.0,189.7,0.0,0.74530536,9.92432976,0.1176798,0.00921631,0,622.37530518,0,153,0,0
Sun Dec 30 20:38:09 EST 2012,30-Dec-2012 20:38:10.980,-85.62219726666666,38.14722951666667,0.0,2.0,189.7,0.0,1.13757133,9.13979721,0.12748645,-0.06639749,0,622.37530518,0,158,0,0
Sun Dec 30 20:38:14 EST 2012,30-Dec-2012 20:38:15.985,-85.62219733333333,38.14722928333333,0.0,2.0,189.7,0.0,-1.21602452,10.82654095,0.2549729,0.1055088,0,622.37530518,0,163,0,0
Sun Dec 30 20:38:19 EST 2012,30-Dec-2012 20:38:20.986,-85.62219746666666,38.14722905,0.0,2.0,189.7,0.0,0.23535959,9.80665016,-0.76491868,-0.00237596,0,622.37530518,0,168,0,0
Sun Dec 30 20:38:24 EST 2012,30-Dec-2012 20:38:25.989,-85.62228085,38.14714325,3.9612222,2.0,196.9,223.3,1.6475172,8.39449215,0.35303938,-0.1325832,29.63964653,645.99737549,8.86100197,173,8.07782555,0.37198707
Sun Dec 30 20:38:29 EST 2012,30-Dec-2012 20:38:31.030,-85.62250205,38.1470819,5.8646665,2.0,196.5,271.8,0.50994581,10.23814201,-0.94143838,0.04397702,12.51173687,644.68505859,13.11888504,178,16.77702141,0.75311869
