"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"2016-10-28 07:32","",
"P","2016-10-28T11:32:43Z","38.301035","-85.471988","187.89999389648438","23.5","1.0","3.799999952316284",,,"0"
"P","2016-10-28T11:32:59Z","38.301204","-85.472138","184.8000030517578","284.5","1.7320507764816284","5.099999904632568",,,"0"
"P","2016-10-28T11:33:01Z","38.301279","-85.472347","184.8000030517578","293.8999938964844","1.7320507764816284","8.600000381469727",,,"0"
"P","2016-10-28T11:33:03Z","38.301367","-85.472578","184.8000030517578","292.1000061035156","1.7320507764816284","10.300000190734863",,,"0"
"P","2016-10-28T11:33:05Z","38.301438","-85.472835","184.6999969482422","291.6000061035156","2.1213202476501465","11.100000381469727",,,"0"
"P","2016-10-28T11:33:07Z","38.301544","-85.473077","184.39999389648438","294.1000061035156","2.1213202476501465","11.5",,,"0"
"P","2016-10-28T11:33:09Z","38.30163","-85.473336","184.10000610351563","293.6000061035156","2.1213202476501465","11.800000190734863",,,"0"
"P","2016-10-28T11:33:11Z","38.301697","-85.473589","184.1999969482422","291.20001220703125","2.1213202476501465","11.800000190734863",,,"0"
"P","2016-10-28T11:33:13Z","38.301763","-85.473856","183.3000030517578","290.79998779296875","2.4494898319244385","11.600000381469727",,,"0"
"P","2016-10-28T11:33:15Z","38.30186","-85.474106","183.1999969482422","292.29998779296875","2.1213202476501465","11.399999618530273",,,"0"
"P","2016-10-28T11:33:17Z","38.301958","-85.474338","183.5","292.20001220703125","2.1213202476501465","11.0",,,"0"
"P","2016-10-28T11:33:19Z","38.302019","-85.474561","182.60000610351563","291.20001220703125","2.1213202476501465","10.300000190734863",,,"0"
"P","2016-10-28T11:33:23Z","38.302148","-85.474899","182.5","295.0","2.1213202476501465","8.300000190734863",,,"0"
"P","2016-10-28T11:33:27Z","38.302297","-85.475084","182.10000610351563","335.79998779296875","1.7320507764816284","5.099999904632568",,,"0"
